,企业代号,信誉评级,资产转化率,美国制裁,净利润占比,贷款份额占比,净利润占比占比,实际信贷份额系数,贷款额度
25,E389,A,162.738817440843,正,6.71626045643447e-05,0.021551724137931036,0.00014291341402147177,0.010847318775976254,120.41042851801393
55,E185,A,136.646764299995,无,0.0139987264786534,0.01293103448275862,0.02978749567552082,0.02135926507913972,237.09806212250794
81,E349,A,483.974787057268,无,0.000486347220666406,0.01293103448275862,0.0010348845485690006,0.006982959515663811,77.51419175282317
83,E356,A,93.4929918218287,无,0.000218382942094429,0.01293103448275862,0.00046469090978846464,0.006697862696273543,74.34948064762976
87,E382,A,738.592471826554,无,7.55029693207482e-05,0.01293103448275862,0.00016066064120620735,0.006545847561982414,72.66203992248423
3,E233,A,49.8036236180972,负,0.0028674528992424,0.008620689655172414,0.006101572237031023,0.007361130946101718,81.71207557395209
5,E390,A,115.329714044207,负,0.000115240509350017,0.008620689655172414,0.00024521703307390125,0.004432953344123158,49.207903150075246
23,E202,A,9.55696047313171,正,0.013011802551408,0.01293103448275862,0.02768744805620922,0.02030924126948392,225.44229543159184
24,E320,A,1.26918491331854,正,0.000263891879619036,0.01293103448275862,0.0005615280957838424,0.006746281289271232,74.88695019669503
49,E136,A,1.01861840728315,无,0.000312136946557267,0.008620689655172414,0.0006641874144710955,0.004642438534821754,51.53328899897833
50,E147,A,1.27142630739498,无,0.00586511307008716,0.008620689655172414,0.01248020885886098,0.010550449257016696,117.1150348147308
52,E155,A,1.05860696746085,无,0.000636993588008958,0.008620689655172414,0.0013554407093449093,0.004988065182258661,55.369910157129645
53,E180,A,1.17429834974697,无,0.00160983888620515,0.008620689655172414,0.003425530810552274,0.006023110232862344,66.85940545569684
54,E182,A,1.05704241167077,无,0.000611759583671335,0.008620689655172414,0.0013017459824546298,0.004961217818813522,55.071891577260146
56,E188,A,1.03085732482264,无,0.000353692019808829,0.008620689655172414,0.0007526112840755487,0.004686650469623981,52.024062629318834
59,E220,A,1.45470229703137,无,0.0036738035340519,0.008620689655172414,0.007817383034818106,0.00821903634499526,91.23523598272251
61,E234,A,8.75218259592455,无,0.00516532215096426,0.008620689655172414,0.010991143477883032,0.009805916566527722,108.8503657145661
63,E243,A,6.99339405526471,无,0.00402614885233268,0.008620689655172414,0.008567128710653923,0.008593909182913168,95.3965038486055
64,E247,A,1.76756168432027,无,0.0013802889393361,0.008620689655172414,0.0029370779459217183,0.005778883800547066,64.14837520224495
65,E262,A,1.49360333874611,无,0.0011864645383595,0.008620689655172414,0.002524644463868552,0.005572667059520483,61.85927070855273
67,E273,A,2.30742450271114,无,0.00190821594152043,0.008620689655172414,0.004060438940119037,0.006340564297645726,70.3832974666894
68,E277,A,1.44645241883713,无,0.000818200775278382,0.008620689655172414,0.0017410263778264103,0.005180858016499412,57.51000286257721
69,E280,A,1.39703983145636,无,0.000710638142305878,0.008620689655172414,0.00151214688158067,0.005066418268376542,56.23966690255301
70,E283,A,1.29261743506274,无,0.000651049184995434,0.008620689655172414,0.0013853492181717631,0.005003019436672088,55.53590953626433
73,E315,A,5.34422246039695,无,0.00136135554292047,0.008620689655172414,0.002896790105116092,0.005758739880144253,63.9247680475343
75,E330,A,3.07727254248573,无,0.000819918829840641,0.008620689655172414,0.0017446821777251822,0.005182685916448798,57.53029342660868
76,E332,A,1.88879787422287,无,0.00210718918185836,0.008620689655172414,0.004483828492386408,0.006552259073779411,72.73321077113988
77,E338,A,12.8916384900059,无,0.00099361474073472,0.008620689655172414,0.0021142848128293673,0.0053674872340008905,59.58167647311994
78,E341,A,2.35480328185224,无,0.000284572180330611,0.008620689655172414,0.0006055331250237427,0.0046131113900980784,51.20774366041887
79,E346,A,1.04400363444124,无,1.48614351787477e-05,0.008620689655172414,3.16232292126022e-05,0.004326156442192508,48.0224064396489
80,E348,A,2.92619232975532,无,0.00021786741358846,0.008620689655172414,0.0004635939312050502,0.004542141793188732,50.419947177980184
82,E355,A,2.3636620698363,无,0.00010087160428498,0.008620689655172414,0.00021464184481378095,0.0044176657499930974,49.03820354059324
84,E357,A,21.3095038900625,无,0.000185579754035558,0.008620689655172414,0.00039488993011099684,0.004507789792641706,50.038623535544296
85,E366,A,3.95472741428111,无,0.000156431896186108,0.008620689655172414,0.00033286702460133023,0.004476778339886872,49.69438157194997
88,E398,A,7.96237070115142,无,7.9219780337276e-05,0.008620689655172414,0.00016856953865129837,0.004394629596911856,48.78249121930864
89,E410,A,24.2520464009801,无,5.7120503710259e-05,0.008620689655172414,0.00012154511053898266,0.004371117382855698,48.52149439342211
90,E412,A,4.86458172092551,无,3.72801654763525e-05,0.008620689655172414,7.932741379031308e-05,0.0043500085344813635,48.28717607653954
91,E415,A,4.97750958708173,无,9.98195954595482e-06,0.008620689655172414,2.1240330487331247e-05,0.004320964992829872,47.96477886777657
93,E421,A,8.08390787466263,无,3.15195015400241e-05,0.008620689655172414,6.706945930044027e-05,0.004343879557236427,48.21914149659575
0,E186,A,28.49063925484,负,0.0118025956817572,0.004310344827586207,0.025114410826325567,0.014712377826955888,163.31443329443857
2,E207,A,1.67512144267413,负,0.00713532447224675,0.004310344827586207,0.015183055914735857,0.009746700371161033,108.19303761288803
6,E416,A,1.98569290082089,负,1.52179937029426e-05,0.004310344827586207,3.238194005060033e-05,0.0021713633838184036,24.103172490233
51,E154,A,0.6050696214483,无,-0.00711454718156176,0.0021551724137931034,-0.015138844503264111,-0.006491836044735504,-72.0624862382123
57,E191,A,0.981844721990109,无,-0.000693355778657838,0.0021551724137931034,-0.0014753722268852029,0.0003399000934539503,3.7730536689625107
58,E217,A,0.0460038424294969,无,-0.00738986662119726,0.0021551724137931034,-0.015724688982048308,-0.006784758284127602,-75.31406324964611
60,E224,A,0.97433737846663,无,-0.00036995009713648,0.0021551724137931034,-0.0007872063887679773,0.000683983012512563,7.5925387034887395
62,E242,A,0.081627023439896,无,-0.00250140450936309,0.0021551724137931034,-0.005322668181209355,-0.0015837478837081257,-17.580359283267235
66,E264,A,0.0498158409214079,无,-0.00327546408243869,0.0021551724137931034,-0.006969767738497291,-0.002407297662352094,-26.72215586917157
71,E304,A,0.557845006895121,无,-0.0010882305334569,0.0021551724137931034,-0.0023156150924691357,-8.022133933801613e-05,-0.8904952500679303
72,E312,A,0.166295502121944,无,-0.00899179702932247,0.0021551724137931034,-0.019133391564906774,-0.008489109575556835,-94.2331780635974
74,E325,A,0.367867504376146,无,-0.00289075384406079,0.0021551724137931034,-0.006151153661032108,-0.0019979906236195022,-22.178651898551415
86,E373,A,0.0668166072994939,无,-0.00270028037471316,0.0021551724137931034,-0.00574585053198349,-0.0017953390590951931,-19.92912256986052
92,E419,A,0.00442034250338089,无,-0.00171701695268143,0.0021551724137931034,-0.003653591998585429,-0.0007492097923961628,-8.316587169182286
1,E187,A,0.0462481576745779,负,-0.0102748714410554,0.0,-0.021863609456451903,-0.010931804728225952,-121.34826301188617
4,E281,A,0.832074462867895,负,-0.000482552685038793,0.0,-0.001026810263113785,-0.0005134051315568925,-5.699042608669812
117,E215,B,311.828273429254,无,0.00985026265194348,0.008620689655172414,0.020960096376976683,0.014790393016074549,164.18043922149738
147,E359,B,2253.95612341472,无,0.000174242717799092,0.008620689655172414,0.00037076617011169157,0.004495727912642053,49.9047308963137
148,E370,B,2525.99586322393,无,0.000295765793557027,0.008620689655172414,0.0006293516992407448,0.0046250206772065795,51.339942445546725
149,E391,B,1564.69712488983,无,0.00019220146987278,0.008620689655172414,0.0004089800926816103,0.004514834873927012,50.11682730866349
18,E375,B,1866.29702820367,负,0.000144261319747392,0.004310344827586207,0.00030696959788971683,0.0023086572127379618,25.627199682067328
19,E387,B,655.700624592743,负,0.000120611761170867,0.004310344827586207,0.0002566463684944969,0.002283495598040352,25.347893719873767
26,E152,B,18.9787476353684,正,0.016587729395935,0.008620689655172414,0.035296562040953154,0.021958625848062782,243.75125343304143
31,E246,B,4.80913927312053,正,0.00363833436240776,0.008620689655172414,0.007741909183780639,0.008181299419476526,90.81633805351935
33,E266,B,21.4875624136811,正,0.00366951246445299,0.008620689655172414,0.007808252188714655,0.008214470921943533,91.1845576024354
34,E289,B,2.90913439291097,正,0.00202245641021349,0.008620689655172414,0.004303528014854023,0.006462108835013218,71.73249998674959
37,E331,B,5.04240208697237,正,0.000708853215270142,0.008620689655172414,0.001508348785629643,0.005064519220401028,56.2185865613894
38,E351,B,3.5498458432045,正,0.000111201911153209,0.008620689655172414,0.00023662341375388463,0.0044286565344631495,49.16020650695937
39,E354,B,3.75747434792616,正,0.000238183726314306,0.008620689655172414,0.0005068244406650707,0.004563757047918742,50.65988684771044
95,E138,B,5.18779422290761,无,0.0127429653294049,0.004310344827586207,0.027115396905695796,0.015712870866641002,174.42038473974702
98,E151,B,9.95354442436405,无,0.013487398392605,0.004310344827586207,0.02869945504731332,0.016504899937449764,183.2122863870022
102,E168,B,66.2546166925399,无,0.0130068042585562,0.004310344827586207,0.027676812329671164,0.015993578578628685,177.53637465272033
104,E171,B,2.30960542508151,无,0.0086668846749609,0.004310344827586207,0.018442019720101677,0.011376182273843943,126.2810663890811
107,E183,B,2.51967877678072,无,0.00574663411481565,0.004310344827586207,0.012228100827950311,0.00826922282776826,91.792329954174
113,E203,B,2.03622006848298,无,0.00354960188927405,0.004310344827586207,0.007553097854137251,0.005931721340861729,65.84494502774743
114,E205,B,3.10232979800641,无,0.00736630074690431,0.004310344827586207,0.015674543822082398,0.009992444324834301,110.92091307950038
115,E210,B,9.16830420193926,无,0.00700165809459154,0.004310344827586207,0.014898630995623495,0.00960448791160485,106.61441126757539
116,E211,B,2.24204289679056,无,0.00397959047225773,0.004310344827586207,0.008468058445422536,0.0063892016365043715,70.92319519947438
122,E235,B,2.84786784015736,无,0.00380188772319994,0.004310344827586207,0.008089929772277958,0.006200137299932082,68.82449060211691
124,E241,B,6.33518947035822,无,0.00467236797383624,0.004310344827586207,0.009942200172802946,0.007126272500194576,79.10503445192066
126,E254,B,11.5476197049637,无,0.0049742820823333,0.004310344827586207,0.010584634698182714,0.00744748976288446,82.67069976024857
127,E268,B,4.37171334128637,无,0.00288945723979444,0.004310344827586207,0.006148394653344112,0.005229369740465159,58.04850620994818
132,E301,B,3.93240452120882,无,0.00168259812097874,0.004310344827586207,0.003580353136317225,0.003945348981951716,43.79526142644967
133,E302,B,3.0019766144376,无,0.000914037334665869,0.004310344827586207,0.0019449542924595544,0.0031276495600228806,34.718406599297055
134,E303,B,7.50948254006217,无,0.00207448505084673,0.004310344827586207,0.004414238293408943,0.0043622915604975745,48.42352354236542
135,E305,B,2.46421224220272,无,0.00416113796399983,0.004310344827586207,0.008854368238203748,0.006582356532894977,73.0673069680208
137,E310,B,3.02274305112361,无,0.00108851382504693,0.004310344827586207,0.0023162179006621375,0.003313281364124172,36.77900844386641
141,E333,B,5.42045615525307,无,0.000850074943940768,0.004310344827586207,0.0018088505233041763,0.003059597675445192,33.96299811977438
143,E336,B,10.9769358077332,无,0.000382788219843665,0.004310344827586207,0.000814524268376899,0.002562434547981553,28.444249527833513
144,E337,B,38.5969694430138,无,0.00161364186726402,0.004310344827586207,0.0034336230668027207,0.0038719839471944638,42.98087443775673
150,E400,B,12.8542689627533,无,0.000110116258212508,0.004310344827586207,0.00023431328344842,0.0022723290555173134,25.223939755024727
151,E403,B,13.2432886883878,无,0.000162075209764589,0.004310344827586207,0.00034487527257095416,0.0023276100500785805,25.83758524489142
152,E409,B,4.59905945041747,无,2.4794745293034e-05,0.004310344827586207,5.2760039944929136e-05,0.002181552433765568,24.216275819790038
153,E418,B,9.19860851322221,无,5.55617748655679e-05,0.004310344827586207,0.00011822833534580009,0.0022142865814660036,24.5796405215365
155,E422,B,30.3784728859105,无,3.82509962720278e-06,0.004310344827586207,8.13932172883626e-06,0.0021592420746575215,23.96862015887775
7,E143,B,2.76496614229376,负,0.00845138245790073,0.0021551724137931034,0.01798345862395242,0.010069315518872761,111.77422011380291
13,E258,B,4.47746834294683,负,0.00773673297876409,0.0021551724137931034,0.016462776131744482,0.009308974272768793,103.33406848240958
14,E345,B,3.86027830251815,负,0.000243885408377683,0.0021551724137931034,0.0005189568892892384,0.0013370646515411708,14.84205737595941
15,E364,B,4.68220551490646,负,0.000233594457892487,0.0021551724137931034,0.0004970590656877687,0.0013261157397404361,14.720519216257474
17,E369,B,2.22402427086076,负,0.000114162446903514,0.0021551724137931034,0.00024292305436718692,0.0011990477340801452,13.310003555339412
20,E388,B,11.0755476166598,负,0.000137371376193872,0.0021551724137931034,0.00029230868111860766,0.0012237405474558555,13.58410559855304
21,E392,B,11.4053381358653,负,0.000134831547061355,0.0021551724137931034,0.00028690425026435974,0.0012210383320287316,13.554109714385921
22,E393,B,2.39199845138465,负,7.6142115283053e-05,0.0021551724137931034,0.00016202066189217567,0.0011585965378426396,12.860975922463751
27,E172,B,1.81513363013333,正,0.00492427454070447,0.004310344827586207,0.010478225059257081,0.007394284943421644,82.08010080735988
28,E201,B,1.22531139795095,正,0.00129340002815889,0.004310344827586207,0.002752189479825278,0.0035312671537057424,39.198755007642696
29,E225,B,1.57316641173876,正,0.0036635171495747,0.004310344827586207,0.007795494927096408,0.006052919877341308,67.19030677240113
30,E227,B,1.10083051500554,正,0.000748861271143468,0.004310344827586207,0.001593480800540426,0.0029519128140633164,32.767644634578446
32,E260,B,1.24287985236967,正,0.000634193186067409,0.004310344827586207,0.0013494818129516687,0.002829913320268938,31.413391880497304
36,E313,B,1.86881042631781,正,0.000899903988181445,0.004310344827586207,0.0019148803426665218,0.0031126125851263643,34.55148898322089
8,E145,B,1.04065399969853,负,0.000672378314124208,0.0021551724137931034,0.001430734871120609,0.0017929536424568563,19.902643303827304
10,E189,B,1.73079493525132,负,0.0031344558933278,0.0021551724137931034,0.006669720385635684,0.004412446399714394,48.98026625520284
11,E213,B,1.27072973846061,负,0.00179952927859557,0.0021551724137931034,0.0038291676522059603,0.0029921700329995317,33.21451902659767
16,E365,B,1.86890077056525,负,0.000235024613866597,0.0021551724137931034,0.000500102254292038,0.0013276373340425707,14.73740964104672
43,E212,C,518.367844547243,正,0.0112344798996688,0.008620689655172414,0.023905533259644143,0.016263111457408278,180.52831857027374
179,E230,C,409.177856057862,无,0.00720086433455467,0.004310344827586207,0.015322516341228824,0.009816430584407516,108.9670763436624
194,E274,C,329.884671148275,无,0.00171252702677384,0.004310344827586207,0.003644038011745291,0.003977191419665749,44.14872772069157
212,E329,C,8843.11409149366,无,0.00162047963184266,0.004310344827586207,0.0034481729534032667,0.003879258890494737,43.06162978922388
215,E343,C,3220.34204050728,无,0.000373473922216908,0.004310344827586207,0.0007947046368768037,0.002552524732231505,28.33424583146934
219,E360,C,3294.05630639157,无,0.000382025469600424,0.004310344827586207,0.0008129012336239385,0.0025616230306050726,28.43524129666875
42,E194,C,8.2150497211676,正,0.0114395122926248,0.004310344827586207,0.024341815912057682,0.014326080369821945,159.02634668893262
45,E269,C,32.1298059343371,正,0.00426371879825709,0.004310344827586207,0.009072647105319909,0.006691495966453058,74.27880690034017
48,E414,C,38.4597795755513,正,5.37677304531932e-05,0.004310344827586207,0.00011441083878589557,0.002212377833186051,24.55845250235234
159,E128,C,27.149334426794,无,0.0341772971794225,0.0021551724137931034,0.07272490776110721,0.03744004008745016,415.6023588654755
161,E132,C,3.17440895495507,无,0.0203920771477989,0.0021551724137931034,0.04339172643891661,0.022773449426354855,252.79618501982426
162,E134,C,31.260734496546,无,0.0174042235763211,0.0021551724137931034,0.03703395700358967,0.019594564708691385,217.50904365628716
164,E139,C,155.072599800325,无,0.0273028011218937,0.0021551724137931034,0.05809686128150187,0.030126016847647485,334.41320137101513
165,E141,C,4.06807389481389,无,0.0175961795723929,0.0021551724137931034,0.03744241475948613,0.019798793586639614,219.776081918679
166,E144,C,12.0256214459284,无,0.0139814573182198,0.0021551724137931034,0.029750749115573377,0.01595296076468324,177.08549748356515
168,E149,C,178.611452923311,无,0.0147379708366604,0.0021551724137931034,0.031360512917543895,0.016757842665668498,186.02007169545894
172,E176,C,19.4676603526677,无,0.0115949000530188,0.0021551724137931034,0.024672461149524337,0.01341381678165872,148.8997843705657
174,E193,C,7.16084420898001,无,0.0154057735437884,0.0021551724137931034,0.03278151148344986,0.017468341948621482,193.90695368804708
181,E238,C,3.52954375559251,无,0.00592040137342733,0.0021551724137931034,0.01259785528185264,0.007376513847822872,81.88283314329696
185,E250,C,3.75803832846201,无,0.00348573245245823,0.0021551724137931034,0.007417191878986559,0.004786182146389831,53.12891186423162
188,E255,C,3.42616260725806,无,0.00400215083663888,0.0021551724137931034,0.008516064009176242,0.005335618211484672,59.22791507485378
192,E267,C,16.9288740675319,无,0.00240960646180035,0.0021551724137931034,0.005127333702107552,0.003641253057950328,40.41965116959216
193,E272,C,3.12709201441206,无,0.00137893218497802,0.0021551724137931034,0.002934190946548191,0.0025446816801706473,28.24718420093733
197,E290,C,3.18353187341098,无,0.00169633261736966,0.0021551724137931034,0.0036095783842334437,0.0028823753990132733,31.99574605603251
198,E294,C,5.53644609481345,无,0.00271586208118237,0.0021551724137931034,0.005779006406182232,0.003967089409987667,44.036590579767406
200,E298,C,2.96575367515269,无,0.00157466687252733,0.0021551724137931034,0.003350689273579248,0.0027529308436861754,30.558849556707788
